datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
20200207,DIA,291.19,292.76,292.81,290.66,3837437.0,1.1822995340632474,57.24110620580535,85.46377866999366,3.2701620212150715,21.97682702547982
20200210,DIA,292.95,290.2,292.96,290.16,2847085.0,1.3798272464413799,58.78488091791559,91.57502161816136,1.0978488533177724,23.823910364629143
20200211,DIA,292.94,294.35,294.42,292.28,1989458.0,1.518063177832346,58.77240876172412,113.9912900923808,7.191556478119995,23.681194082107353
20200212,DIA,295.72,294.63,295.87,294.53,2766818.0,1.8308341989752535,61.14329091119481,156.5258214764314,12.889587236657633,23.47760809726168
20200213,DIA,294.82,294.39,295.84,293.92,2629860.0,1.9832236406230663,59.98795823628077,132.7598297477504,9.856474951343182,23.924171500499625
20200214,DIA,294.54,294.97,295.13,293.4,1860470.0,2.057680056266065,59.6253580483587,110.44694295104412,7.231092734281861,25.118992971496894
20200218,DIA,292.95,293.15,293.88,291.76,2396656.0,1.965727902638605,57.580779344708446,69.70179500449599,0.7642866520486165,27.174133139260363
20200219,DIA,294.1,293.77,294.72,293.385,1457383.0,1.9630220511909897,58.641882410704284,93.58988529662558,3.1879845670116667,29.11113808331406
20200220,DIA,292.78,293.56,294.2925,290.17,3486177.0,1.8332323151429364,56.95031101731831,48.93598120728666,11.08119801340725,26.947200815232705
20200221,DIA,289.74,290.8,291.05,288.75,3271692.0,1.4681465411435397,53.28816146997825,-19.870660987273176,16.530829382827207,23.53912804187368
20200224,DIA,279.56,280.33,282.7799,278.97,6563478.0,0.35329989152984353,43.58022557189356,-233.0093970459957,42.483422806648484,22.63672944263847
20200225,DIA,270.7,280.8,281.36,269.8835,9796706.0,-1.2309622971022804,37.439309104540484,-309.82948443375284,56.05393240002535,24.48901302268807
20200226,DIA,269.74,271.99,275.31,268.83,7462321.0,-2.534746492787235,36.857170400777285,-287.45011693034473,57.30248635315157,27.362029331048532
20200227,DIA,257.5,264.86,267.73,257.39,11129750.0,-4.503754093477312,30.584727629272905,-341.4186625262743,67.89162806031742,26.09363698930114
20200228,DIA,254.56,250.52,255.12,247.0,17470060.0,-6.229628947653566,29.343871860688424,-335.6260945587197,74.12232522793558,30.589467432167254
